tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
23.700000000000003,10.400000000000002,424.7000000000001,2436,722,1384,180,1384,83,0,13.33586424740699,1,0.49999999999999994,0.8660254037844387,-24.17587261159119,-50.76836322656564,0.8281000000000001,2015,2
27.75,10.900000000000002,550.25,2181,16,693,73,1568,137,875,13.039369555097617,1,0.49999999999999994,0.8660254037844387,-19.289037465980996,-62.841720645132,0.5199,2015,1
28.3,9.600000000000001,567.3000000000001,1634,2299,854,31,1322,141,468,11.599714297077465,1,0.49999999999999994,0.8660254037844387,7.6963536689694365,-65.24920560657232,0.386,2015,0
27.300000000000004,7.800000000000001,536.3000000000002,1309,1479,808,193,808,47,0,12.241600770491699,1,0.49999999999999994,0.8660254037844387,-4.6644646405151775,-63.84783376334586,0.8108000000000001,2015,0
25.85,8.700000000000003,491.35,1850,1225,780,63,1047,62,267,11.772648516204871,1,0.49999999999999994,0.8660254037844387,4.3905534234095995,-57.81115505406268,0.8485,2015,0
19.35,12.700000000000003,289.85,2406,19,0,0,1332,74,1332,12.70414557899797,1,0.49999999999999994,0.8660254037844387,-13.360156590792144,-75.8133933478179,0.137,2015,1
26.050000000000004,12.3,497.5500000000001,2526,11,201,21,1708,135,1507,12.500434253811441,1,0.49999999999999994,0.8660254037844387,-9.587232397490155,-39.054331921647076,0.4464,2015,1
27.1,9.600000000000001,530.1,2460,2232,1277,108,1423,80,145,12.668789269994763,1,0.49999999999999994,0.8660254037844387,-12.713369586226094,-47.82188909465361,0.6900000000000001,2015,2
26.6,9.200000000000003,514.6,1032,4407,725,332,725,66,0,12.596708895964456,1,0.49999999999999994,0.8660254037844387,-11.383862965729207,-65.64446433158491,0.8195,2015,0
27.200000000000003,8.400000000000002,533.2,1276,650,803,414,803,51,0,12.157632992396362,1,0.49999999999999994,0.8660254037844387,-3.0474971291000372,-65.82412738840881,0.8288000000000001,2015,0
25.400000000000002,10.600000000000001,477.4000000000001,2426,467,1162,80,1393,76,231,12.960133581054087,1,0.49999999999999994,0.8660254037844387,-17.92359823411931,-50.6246327811065,0.8390000000000001,2015,2
26.75,7.900000000000002,519.25,1118,933,699,394,699,37,0,12.22477855873343,1,0.49999999999999994,0.8660254037844387,-4.341071138232152,-66.43498178161009,0.625,2015,0
8.3,7.800000000000001,0.0,1933,631,694,65,740,26,46,16.27286662091293,1,0.49999999999999994,0.8660254037844387,-53.856209598900165,-72.07640176588069,0.5526,2015,1
25.700000000000003,10.2,486.7000000000001,2091,2177,1182,188,1182,55,0,12.510008858629163,1,0.49999999999999994,0.8660254037844387,-9.766895454314067,-46.95950642189885,0.6381,2015,2
10.350000000000001,10.700000000000001,10.850000000000044,1389,776,748,82,748,43,0,12.676629072038088,1,0.49999999999999994,0.8660254037844387,-12.85710003168522,-72.00453654315112,0.2104,2015,0
26.050000000000004,8.3,497.5500000000001,1569,2620,939,230,939,52,0,12.179991914658851,1,0.49999999999999994,0.8660254037844387,-3.478688465477404,-54.68501786532674,0.7488,2015,0
27.1,12.200000000000003,530.1,2347,172,601,61,1452,142,850,12.428008389911579,1,0.49999999999999994,0.8660254037844387,-8.221793165628483,-43.186582228596876,0.7184,2015,2
