tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
-19.200000000000003,8.8,0.0,330,235,0,97,0,4,0,7.495110961601031,1,0.49999999999999994,0.8660254037844387,55.12740067048017,-59.24845950865391,0.0397,2015,1
-27.0,5.800000000000001,0.0,119,457,0,7,0,2,0,4.918883317525638,1,0.49999999999999994,0.8660254037844387,64.14648612304018,-73.36997577501279,-0.0712,2015,0
19.700000000000003,9.400000000000002,300.7000000000001,1366,2,9,1,787,62,778,10.67685232852677,1,0.49999999999999994,0.8660254037844387,23.973826617215167,-110.84768942847923,0.28900000000000003,2015,2
-28.200000000000003,8.599999999999998,0.0,372,297,0,39,0,0,0,7.245325465209126,1,0.49999999999999994,0.8660254037844387,56.38504206824751,-68.12381451575479,0.0339,2015,0
2.55,13.9,0.0,937,408,324,38,370,31,0,9.749716707424271,1,0.49999999999999994,0.8660254037844387,36.83770148580672,-95.3248013188939,0.2756,2015,0
-0.3500000000000001,13.900000000000002,0.0,905,225,3,16,30,21,0,9.555401293512373,1,0.49999999999999994,0.8660254037844387,39.06552339042313,-111.78193732396353,0.0949,2015,0
-27.6,8.399999999999999,0.0,115,396,0,9,0,0,0,5.481063868410919,1,0.49999999999999994,0.8660254037844387,62.7810468911785,-102.43945836912052,-0.046900000000000004,2015,0
-18.0,3.8000000000000007,0.0,89,65,0,34,0,2,0,5.138381582656503,1,0.49999999999999994,0.8660254037844387,63.64342956393324,-138.1564740657127,0.0181,2015,0
2.3499999999999996,12.3,0.0,897,1473,268,69,318,26,0,9.824463578956957,1,0.49999999999999994,0.8660254037844387,35.93938620168719,-87.34776159591254,0.44520000000000004,2015,0
-2.95,5.5,0.0,477,2148,0,228,0,8,0,8.658304583665826,1,0.49999999999999994,0.8660254037844387,47.545619672511414,-121.052551056077,0.16870000000000002,2015,0
0.0,16.2,0.0,949,48,14,6,78,33,0,9.57480230559706,1,0.49999999999999994,0.8660254037844387,38.84992772223444,-103.15811059641612,0.1777,2015,0
-17.85,8.9,0.0,166,646,0,31,0,0,0,6.333795258932411,1,0.49999999999999994,0.8660254037844387,60.15796626154949,-122.09459678565564,0.06420000000000001,2015,0
-17.5,11.0,0.0,31,292,0,8,0,13,0,2.803374956720154,1,0.49999999999999994,0.8660254037844387,67.45228636860001,-152.85291211390805,-0.0901,2015,0
-21.200000000000003,6.599999999999998,0.0,67,90,0,29,0,0,0,4.307032433402558,1,0.49999999999999994,0.8660254037844387,65.36819490944272,-135.6771238815428,-0.0658,2015,0
-32.0,8.400000000000002,0.0,93,364,0,4,0,1,0,4.519162163559125,1,0.49999999999999994,0.8660254037844387,64.97293618443013,-83.28737651169232,-0.1207,2015,0
2.25,12.100000000000001,0.0,988,1366,246,62,299,34,0,9.785838080828043,1,0.49999999999999994,0.8660254037844387,36.406510149429344,-80.70022849342809,0.43910000000000005,2015,0
0.8500000000000001,11.100000000000001,0.0,915,1424,48,94,123,24,0,9.773848147145493,1,0.49999999999999994,0.8660254037844387,36.55024059488847,-84.25755701854139,0.452,2015,0
-3.3500000000000005,8.9,0.0,307,258,0,118,0,42,0,7.2228691172598145,1,0.49999999999999994,0.8660254037844387,56.49283990234185,-61.08102268825773,-0.0427,2015,0
-15.5,12.200000000000001,0.0,545,427,0,90,0,5,0,8.635718008668583,1,0.49999999999999994,0.8660254037844387,47.72528272933532,-67.22549923163527,0.2553,2015,0
4.2,11.6,0.0,1090,1201,433,122,443,36,0,9.943016567561957,1,0.49999999999999994,0.8660254037844387,34.46614913573118,-83.57483740261056,0.5174,2015,0
5.05,5.9,0.0,380,1878,83,179,84,5,0,8.519899415144435,1,0.49999999999999994,0.8660254037844387,48.62359801345484,-123.63969907434122,0.7661,2015,0
-19.5,8.400000000000002,0.0,119,354,0,21,0,3,0,5.764341823490067,1,0.49999999999999994,0.8660254037844387,61.99052944115331,-114.33315273086298,-0.0692,2015,0
-23.450000000000003,12.900000000000002,0.0,496,184,0,65,0,1,0,8.172293333806445,1,0.49999999999999994,0.8660254037844387,51.10294819762472,-71.46554737267941,0.0165,2015,0
-17.700000000000003,8.000000000000002,0.0,139,563,0,35,0,0,0,6.198573643535765,1,0.49999999999999994,0.8660254037844387,60.62509020929164,-124.0349577993538,0.2492,2015,0
24.35,12.100000000000001,444.85,1536,2379,897,88,942,90,45,11.053538121836775,1,0.49999999999999994,0.8660254037844387,17.685619628378518,-91.30034884603845,0.7779,2015,2
8.0,16.0,0.0,1263,1,552,58,685,68,133,10.105669110388314,1,0.49999999999999994,0.8660254037844387,32.34612506520911,-109.15885669433453,0.1593,2015,0
-28.85,5.5,0.0,80,100,0,106,0,1,0,2.731897581853973,1,0.49999999999999994,0.8660254037844387,67.52415159132957,-44.22862795817551,-0.11170000000000001,2015,0
1.5499999999999998,14.1,0.0,950,176,160,29,249,27,0,9.710062998232573,1,0.49999999999999994,0.8660254037844387,37.304825433548864,-97.30109494395684,0.34450000000000003,2015,0
-26.8,7.600000000000001,0.0,45,205,0,5,0,0,0,3.222441761832114,1,0.49999999999999994,0.8660254037844387,66.98516242085786,-107.47002396018983,-0.1071,2015,0
-14.150000000000002,11.9,0.0,553,512,0,103,0,6,0,8.676240378296196,1,0.49999999999999994,0.8660254037844387,47.40188922705229,-66.68651006116356,0.32180000000000003,2015,0
