tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
-12.3,7.4,0.0,207,184,0,26,0,3,0,6.615012865125919,1,0.49999999999999994,0.8660254037844387,59.11592053197085,-65.06954254974842,-0.034300000000000004,2021,0
-7.050000000000001,14.100000000000001,0.0,754,113,0,12,0,7,0,9.286476144918602,1,0.49999999999999994,0.8660254037844387,41.904199688240816,-111.06328509666791,0.0623,2021,0
12.600000000000001,14.200000000000003,80.60000000000005,1368,0,11,1,909,96,898,10.538794554316375,1,0.49999999999999994,0.8660254037844387,26.129783299102016,-102.36759314639094,0.2524,2021,1
5.7,12.6,0.0,979,1965,521,79,521,36,0,9.908814069494108,1,0.49999999999999994,0.8660254037844387,34.897340472108546,-95.25293609616433,0.5391,2021,0
-1.8000000000000003,7.000000000000001,0.0,567,840,6,43,6,7,0,9.18079065837335,1,0.49999999999999994,0.8660254037844387,42.94624541781946,-82.10160033665454,0.0818,2021,0
0.6000000000000001,9.2,0.0,662,105,83,19,83,21,0,9.21035398855626,1,0.49999999999999994,0.8660254037844387,42.658784526901215,-114.15348967403906,0.2485,2021,0
-12.950000000000001,10.7,0.0,325,410,0,23,0,0,0,7.304367006647847,1,0.49999999999999994,0.8660254037844387,56.09758117732926,-107.97308051929676,0.22690000000000002,2021,0
2.1000000000000005,9.4,0.0,815,943,300,54,300,28,0,9.539130468633699,1,0.49999999999999994,0.8660254037844387,39.245186447247036,-75.95712379327702,0.35950000000000004,2021,0
-1.4000000000000001,6.0,0.0,385,1672,3,226,3,7,0,8.438248862099444,1,0.49999999999999994,0.8660254037844387,49.23445240665611,-121.4118771697248,0.32680000000000003,2021,0
-14.55,8.299999999999999,0.0,290,239,0,25,0,1,0,7.162117177212858,1,0.49999999999999994,0.8660254037844387,56.780300793260096,-76.3523825182896,-0.0417,2021,0
-15.950000000000001,7.300000000000001,0.0,115,229,0,31,0,2,0,5.138381582656503,1,0.49999999999999994,0.8660254037844387,63.64342956393324,-67.69262317937742,-0.06770000000000001,2021,0
-6.200000000000001,7.800000000000001,0.0,143,529,0,169,0,0,0,6.4825696287791965,1,0.49999999999999994,0.8660254037844387,59.61897709107778,-137.3659566156875,-0.0698,2021,0
1.3500000000000003,9.9,0.0,663,417,152,29,152,21,0,9.257725326643104,1,0.49999999999999994,0.8660254037844387,42.19166057915906,-121.66340544927827,0.3146,2021,0
-6.750000000000001,10.9,0.0,485,69,0,11,0,5,0,8.384091494060263,1,0.49999999999999994,0.8660254037844387,49.6297111316687,-105.20626944420864,0.013000000000000001,2021,0
-18.5,8.400000000000002,0.0,124,231,0,23,0,0,0,5.788824893023963,1,0.49999999999999994,0.8660254037844387,61.91866421842376,-112.82398305354218,-0.0757,2021,0
15.000000000000002,17.8,155.00000000000006,1726,8,62,7,990,116,928,10.814308501053018,1,0.49999999999999994,0.8660254037844387,21.746004712598747,-100.53502996678712,0.2864,2021,1
9.850000000000001,12.9,0.0,1049,2379,604,94,604,45,0,10.185132496995061,1,0.49999999999999994,0.8660254037844387,31.268146724265684,-93.49223813929008,0.6916,2021,0
6.3999999999999995,19.6,0.0,1453,49,271,28,793,69,522,10.397475884055195,1,0.49999999999999994,0.8660254037844387,28.249807369624087,-107.39815873746026,0.37110000000000004,2021,1
-15.100000000000001,7.799999999999999,0.0,43,339,0,17,0,6,0,3.852943237325127,1,0.49999999999999994,0.8660254037844387,66.12277974810311,-159.42857999366296,-0.0707,2021,0
22.700000000000003,8.2,393.7000000000001,1858,1101,525,7,913,70,388,10.7660925290488,1,0.49999999999999994,0.8660254037844387,22.53652216262394,-78.4364739774469,0.3919,2021,1
16.150000000000002,16.900000000000002,190.65000000000006,1607,20,81,9,895,109,814,10.78808207607505,1,0.49999999999999994,0.8660254037844387,22.17719604897613,-100.28350168723365,0.3653,2021,0
3.8500000000000005,11.500000000000002,0.0,970,1572,371,92,371,30,0,9.7768503318585,1,0.49999999999999994,0.8660254037844387,36.514307983523686,-79.40665448429598,0.5302,2021,0
21.1,15.200000000000003,344.1,1694,1815,473,5,940,104,467,10.861949845251775,1,0.49999999999999994,0.8660254037844387,20.95548726257357,-105.06253899874952,0.7244,2021,1
-17.4,7.199999999999999,0.0,114,381,0,16,0,5,0,4.918883317525638,1,0.49999999999999994,0.8660254037844387,64.14648612304018,-73.36997577501279,-0.064,2021,0
5.9,11.600000000000001,0.0,965,1139,438,81,438,30,0,9.957150932705574,1,0.49999999999999994,0.8660254037844387,34.286486078907274,-86.66504197998171,0.5328,2021,0
13.950000000000001,16.3,122.45000000000003,1773,16,55,6,950,108,895,10.855486027751336,1,0.49999999999999994,0.8660254037844387,21.06328509666791,-101.03808652589406,0.2827,2021,1
3.7500000000000004,11.100000000000001,0.0,971,1454,356,86,356,29,0,9.797778157080506,1,0.49999999999999994,0.8660254037844387,36.262779703970224,-79.87377843203814,0.4985,2021,0
-9.5,13.0,0.0,522,542,0,15,0,2,0,8.576104440973001,1,0.49999999999999994,0.8660254037844387,48.192406677077464,-92.27052935288752,0.24630000000000002,2021,0
-1.2000000000000002,10.4,0.0,730,903,13,79,13,13,0,9.429294783872656,1,0.49999999999999994,0.8660254037844387,40.4309626222848,-92.73765330062967,0.025900000000000003,2021,0
-24.75,8.3,0.0,111,298,0,6,0,0,0,5.481063868410919,1,0.49999999999999994,0.8660254037844387,62.7810468911785,-102.43945836912052,-0.061200000000000004,2021,0
-14.8,6.200000000000001,0.0,82,169,0,18,0,5,0,5.138381582656503,1,0.49999999999999994,0.8660254037844387,63.64342956393324,-138.1564740657127,-0.0041,2021,0
0.75,10.700000000000001,0.0,822,1043,114,93,114,19,0,9.694663289608473,1,0.49999999999999994,0.8660254037844387,37.48448849037277,-81.4188807207237,0.4681,2021,0
-12.650000000000002,11.500000000000002,0.0,460,493,0,31,0,0,0,8.051583523133308,1,0.49999999999999994,0.8660254037844387,51.8934656476499,-93.8156316415731,0.2745,2021,0
-3.1,5.8,0.0,439,2148,0,346,0,12,0,8.658304583665826,1,0.49999999999999994,0.8660254037844387,47.545619672511414,-121.052551056077,0.1474,2021,0
3.95,15.1,0.0,1150,27,111,12,674,47,562,9.888676467449846,1,0.49999999999999994,0.8660254037844387,35.148868751662015,-100.93028869179972,0.24100000000000002,2021,0
-5.85,10.3,0.0,608,345,0,22,0,2,0,9.039748552260312,1,0.49999999999999994,0.8660254037844387,44.275752038316355,-94.35462081204481,0.0354,2021,0
6.65,17.5,0.0,1297,2,75,8,804,61,729,10.174655332565944,1,0.49999999999999994,0.8660254037844387,31.411877169724804,-102.79878448276833,0.1859,2021,1
-16.85,8.700000000000003,0.0,170,941,0,21,0,0,0,6.333795258932411,1,0.49999999999999994,0.8660254037844387,60.15796626154949,-122.09459678565564,0.039,2021,0
-19.75,9.3,0.0,250,468,0,33,0,0,0,6.854798203183216,1,0.49999999999999994,0.8660254037844387,58.14574002512177,-100.42723213269278,0.007200000000000001,2021,0
-13.150000000000002,10.500000000000002,0.0,29,124,0,12,0,19,0,2.803374956720154,1,0.49999999999999994,0.8660254037844387,67.45228636860001,-152.85291211390805,-0.1125,2021,0
-17.8,8.600000000000001,0.0,64,72,0,14,0,0,0,4.307032433402558,1,0.49999999999999994,0.8660254037844387,65.36819490944272,-135.6771238815428,-0.10880000000000001,2021,0
-22.75,9.3,0.0,96,125,0,11,0,0,0,4.519162163559125,1,0.49999999999999994,0.8660254037844387,64.97293618443013,-83.28737651169232,-0.1233,2021,0
-15.700000000000001,9.2,0.0,357,791,0,28,0,0,0,7.622079573392971,1,0.49999999999999994,0.8660254037844387,54.444681054549335,-99.49298423720847,0.0641,2021,1
-12.700000000000001,9.8,0.0,433,607,0,19,0,0,0,7.8840192079418,1,0.49999999999999994,0.8660254037844387,52.93551137722854,-97.33702755532163,0.22660000000000002,2021,0
0.75,10.5,0.0,804,354,120,54,120,20,0,9.493061500012226,1,0.49999999999999994,0.8660254037844387,39.74824300635397,-95.07327303934044,0.24430000000000002,2021,0
-8.9,10.8,0.0,570,427,0,35,0,2,0,8.635718008668583,1,0.49999999999999994,0.8660254037844387,47.72528272933532,-67.22549923163527,0.24810000000000001,2021,0
-14.450000000000001,10.3,0.0,386,359,0,38,0,0,0,7.712125404747556,1,0.49999999999999994,0.8660254037844387,53.941624495442404,-92.09086629606362,0.0898,2021,0
4.3500000000000005,5.5,0.0,353,1878,92,282,92,7,0,8.519899415144435,1,0.49999999999999994,0.8660254037844387,48.62359801345484,-123.63969907434122,0.8133,2021,2
23.85,7.100000000000001,429.35,1896,859,525,15,1009,61,484,10.829527990433458,1,0.49999999999999994,0.8660254037844387,21.494476433045293,-77.03510213422044,0.8671000000000001,2021,2
10.700000000000001,12.400000000000002,21.70000000000003,1088,2417,665,69,675,52,10,10.213763499541509,1,0.49999999999999994,0.8660254037844387,30.872887999253095,-95.57632959844737,0.6837000000000001,2021,0
-17.6,8.4,0.0,122,459,0,19,0,1,0,5.764341823490067,1,0.49999999999999994,0.8660254037844387,61.99052944115331,-114.33315273086298,-0.034300000000000004,2021,2
-13.4,11.8,0.0,503,184,0,27,0,1,0,8.172293333806445,1,0.49999999999999994,0.8660254037844387,51.10294819762472,-71.46554737267941,0.0656,2021,0
-18.0,7.800000000000001,0.0,144,712,0,16,0,4,0,6.198573643535765,1,0.49999999999999994,0.8660254037844387,60.62509020929164,-124.0349577993538,0.1461,2021,0
-3.9000000000000004,9.8,0.0,600,505,0,35,0,8,0,9.261335661735128,1,0.49999999999999994,0.8660254037844387,42.155727967794284,-77.46629347059782,0.12440000000000001,2021,0
-9.3,12.0,0.0,542,504,0,9,0,0,0,8.698495777683268,1,0.49999999999999994,0.8660254037844387,47.22222617022838,-92.62985546653533,0.08320000000000001,2021,0
-8.4,10.400000000000002,0.0,577,512,0,45,0,2,0,8.676240378296196,1,0.49999999999999994,0.8660254037844387,47.40188922705229,-66.68651006116356,0.2283,2021,0
4.45,4.9,0.0,242,335,163,173,163,11,0,7.680294467978512,1,0.49999999999999994,0.8660254037844387,54.12128755226631,-131.68860402005214,0.555,2021,0
-16.3,9.399999999999999,0.0,193,132,0,23,0,1,0,6.443617529424296,1,0.49999999999999994,0.8660254037844387,59.76270753653691,-114.44095056495732,0.0471,2021,0
-25.25,9.099999999999998,0.0,88,147,0,9,0,0,0,4.785847553713996,1,0.49999999999999994,0.8660254037844387,64.43394701395842,-97.1932971098625,-0.0844,2021,0
12.700000000000001,15.2,83.70000000000003,1276,23,53,6,836,83,783,10.433970402822696,1,0.49999999999999994,0.8660254037844387,27.710818199152378,-101.21774958271796,0.23700000000000002,2021,1
-16.35,7.299999999999999,0.0,192,100,0,42,0,1,0,6.209194987590035,1,0.49999999999999994,0.8660254037844387,60.589157597926864,-73.5496388318367,-0.0388,2021,0
25.900000000000002,5.600000000000001,492.9000000000001,2019,127,599,57,1307,96,708,11.032879778490267,1,0.49999999999999994,0.8660254037844387,18.04494574202633,-63.129181536050254,0.4756,2021,2
-9.15,11.900000000000002,0.0,544,558,0,10,0,0,0,8.711762483480387,1,0.49999999999999994,0.8660254037844387,47.11442833613404,-92.7017206892649,0.15710000000000002,2021,0
-1.3000000000000003,12.600000000000001,0.0,662,37,17,5,17,26,0,8.91570183320166,1,0.49999999999999994,0.8660254037844387,45.38966299062456,-103.7689649896174,0.2031,2021,0
-7.4,10.8,0.0,513,1354,0,18,0,1,0,8.79859684777403,1,0.49999999999999994,0.8660254037844387,46.395776108838426,-88.5694703823151,0.2743,2021,0
12.750000000000002,14.900000000000002,85.25000000000006,1301,31,53,6,857,91,803,10.4072471163203,1,0.49999999999999994,0.8660254037844387,28.106076924164967,-101.75673875318968,0.3392,2021,1
-18.75,8.900000000000002,0.0,63,62,0,14,0,0,0,4.266751184043783,1,0.49999999999999994,0.8660254037844387,65.44006013217228,-134.9584716542472,-0.0791,2021,0
11.15,13.099999999999998,35.65000000000001,1145,1255,568,125,568,43,0,10.174655332565944,1,0.49999999999999994,0.8660254037844387,31.411877169724804,-82.85618517531493,0.5831000000000001,2021,0
-2.0,8.200000000000001,0.0,602,708,0,77,0,10,0,9.031913383029154,1,0.49999999999999994,0.8660254037844387,44.34761726104592,-64.92581210428929,0.6615,2021,1
-16.85,10.100000000000001,0.0,326,414,0,48,0,0,0,7.260199754308765,1,0.49999999999999994,0.8660254037844387,56.313176845517944,-97.15736449849773,0.084,2021,0
-23.1,8.600000000000001,0.0,119,455,0,19,0,0,0,5.481063868410919,1,0.49999999999999994,0.8660254037844387,62.7810468911785,-110.63209376029054,-0.07740000000000001,2021,0
-20.9,9.2,0.0,190,631,0,19,0,0,0,6.364150183513449,1,0.49999999999999994,0.8660254037844387,60.05016842745515,-107.25442829200115,-0.0398,2021,0
-14.650000000000002,9.500000000000002,0.0,364,193,0,28,0,0,0,7.467643134535767,1,0.49999999999999994,0.8660254037844387,55.2711311159393,-72.18419959997503,0.0031000000000000003,2021,0
-17.05,8.5,0.0,136,470,0,20,0,2,0,5.872985021876748,1,0.49999999999999994,0.8660254037844387,61.66713593887029,-114.4768831763221,-0.0845,2021,0
-7.950000000000001,12.3,0.0,620,409,0,49,0,5,0,8.972421922156082,1,0.49999999999999994,0.8660254037844387,44.88660643151763,-70.85469297947813,0.1308,2021,0
-14.05,6.299999999999999,0.0,141,310,0,50,0,3,0,5.677053929058715,1,0.49999999999999994,0.8660254037844387,62.24205772070678,-66.65057744979877,-0.0614,2021,0
